# 담당자 Base Load 실적표 (2026-08 수령분) — 표에 적힌 값 그대로 전사.
# 두 블록을 모두 담는다:
#   a_* = Actual Data (실측)
#   s_* = 공급가능용량(온도 + Actual RH + mbar + 진공)  ← 담당자 이론값
# vac = 진공도(mbar) 실측.  cip = Comp. Inlet Pres.(회색 표기, 미사용)
# date,cit,cip,press,rh,vac,a_gt,a_st,a_cc_g,a_cc_n,s_gt,s_st,s_cc_g,s_cc_n
2025-01-15,-0.5,999.4,1018.5,19.4,50.7,306.9,159.4,466.2,457.2,299.1,156.2,455.3,446.3
2025-02-04,-5.1,989.8,1008.7,33.6,46.3,306.8,153.7,468.1,459.2,296.6,154.9,451.5,442.5
2025-02-19,1.4,998.8,1017.9,24.8,50.7,304.9,159.0,463.9,454.9,297.9,155.6,453.5,444.5
2025-02-26,9.0,994.8,1013.9,12.7,51.2,296.1,155.9,451.9,443.0,291.4,152.2,443.6,434.7
2025-03-12,12.5,986.7,1005.6,54.2,50.3,289.5,154.3,443.7,434.7,286.9,149.8,436.7,427.7
2025-03-19,7.3,994.1,1013.4,19.4,42.6,297.7,157.6,455.3,446.5,293.8,153.4,447.2,438.4
2025-03-26,25.7,973.8,991.7,9.2,50.3,264.6,142.2,406.8,398.0,267.5,139.7,407.2,398.4
2025-04-03,16.0,989.5,1008.3,29.8,49.7,285.8,152.8,438.7,429.7,284.2,148.4,432.5,423.6
2025-04-08,18.8,984.5,1003.3,27.3,50.1,279.7,150.0,429.7,421.0,279.6,146.0,425.7,417.0
2025-04-15,13.7,977.0,995.8,35.4,48.0,285.5,152.7,438.1,429.3,283.2,147.9,431.1,422.3
2025-04-23,23.5,977.5,995.5,36.4,60.5,268.6,142.4,411.1,402.3,269.8,140.9,410.7,401.9
2025-04-29,21.4,983.1,1002.0,11.9,51.6,275.0,146.4,421.5,412.8,275.8,144.0,419.9,411.2
2025-05-19,20.0,978.9,996.8,42.2,49.7,275.9,150.5,426.3,417.0,276.4,144.3,420.7,411.5
2025-05-27,27.4,988.3,1006.0,30.1,57.9,264.1,144.2,408.3,399.3,267.0,139.4,406.4,397.4
2025-06-04,25.5,975.4,993.5,28.1,57.4,264.7,143.7,408.4,399.0,266.9,139.3,406.2,396.8
2025-06-11,28.9,983.2,1000.9,29.3,63.2,259.5,140.4,400.0,390.7,262.2,136.9,399.1,389.8
2025-06-17,29.9,977.3,994.9,43.6,67.8,254.0,137.3,391.2,381.7,257.3,134.3,391.6,382.1
2025-06-24,27.6,979.0,997.3,47.9,63.9,259.5,139.7,399.2,389.9,262.8,137.2,400.0,390.7
2025-07-02,31.9,984.1,1001.8,56.8,76.3,250.6,134.6,385.3,376.5,252.9,132.1,385.0,376.2
2025-07-09,36.1,980.3,998.5,39.7,78.1,243.9,132.6,376.6,367.7,242.9,126.8,369.8,360.9
2025-07-22,32.8,985.4,1003.7,49.6,75.7,253.2,137.6,390.8,381.8,251.9,131.5,383.4,374.5
2025-07-29,34.6,971.0,989.4,52.8,82.1,244.4,131.9,376.4,367.7,242.8,126.8,369.6,361.0
2025-08-05,32.8,975.5,994.0,47.0,74.1,250.6,135.9,386.4,377.4,249.8,130.4,380.2,371.2
2025-08-12,33.6,981.7,1000.2,36.0,70.9,250.6,135.5,386.2,377.2,250.9,131.0,381.8,372.9
2025-08-19,32.7,981.9,1000.4,49.3,76.2,251.2,133.9,385.2,376.3,251.2,131.2,382.3,373.4
2025-08-21,33.8,981.2,999.8,38.0,74.9,249.2,132.6,381.7,372.7,249.3,130.2,379.5,370.5
2025-08-27,30.2,982.2,1000.9,49.1,69.7,257.8,137.7,395.5,386.6,257.7,134.6,392.3,383.3
2025-09-02,30.7,980.7,1000.0,50.0,71.2,255.8,135.6,391.6,382.6,256.2,133.8,390.0,381.1
2025-09-09,27.4,983.6,1003.4,51.8,66.1,264.3,140.1,404.4,395.4,264.2,137.9,402.1,393.0
2025-09-18,25.3,986.6,1006.3,49.9,62.2,269.6,142.0,411.6,402.6,269.2,140.5,409.7,400.7
2025-09-23,25.1,987.7,1007.7,44.0,59.4,271.0,143.6,414.5,405.5,270.6,141.3,411.9,402.9
2025-10-14,21.3,991.2,1009.1,62.8,59.8,278.9,148.7,427.7,419.0,276.2,144.2,420.4,411.7
2025-10-21,14.5,999.7,1018.4,49.1,49.9,293.2,157.4,450.5,441.3,288.6,150.7,439.3,430.1
2025-10-28,12.7,998.8,1018.3,24.0,43.1,295.3,158.4,452.4,443.1,290.9,151.9,442.8,433.5
