연월,OT기본,정규종료,비고
2026-09,40,17:30,"선택적 근로 — 임시값, 담당자 확인 필요"
2026-10,,17:30,OT 기본 가능시간 — 담당자 확인 후 입력
2026-11,,17:30,OT 기본 가능시간 — 담당자 확인 후 입력
2026-12,,17:30,OT 기본 가능시간 — 담당자 확인 후 입력
2027-01,,17:30,OT 기본 가능시간 — 담당자 확인 후 입력
2027-02,,17:30,OT 기본 가능시간 — 담당자 확인 후 입력
2027-03,,17:30,OT 기본 가능시간 — 담당자 확인 후 입력
2027-04,,17:30,OT 기본 가능시간 — 담당자 확인 후 입력
2027-05,,17:30,OT 기본 가능시간 — 담당자 확인 후 입력
2027-06,,17:30,OT 기본 가능시간 — 담당자 확인 후 입력
2027-07,,17:30,OT 기본 가능시간 — 담당자 확인 후 입력
2027-08,,17:30,OT 기본 가능시간 — 담당자 확인 후 입력
2027-09,,17:30,OT 기본 가능시간 — 담당자 확인 후 입력
2027-10,,17:30,OT 기본 가능시간 — 담당자 확인 후 입력
2027-11,,17:30,OT 기본 가능시간 — 담당자 확인 후 입력
2027-12,,17:30,OT 기본 가능시간 — 담당자 확인 후 입력
