조합코드,유형,출근,퇴근,실근로,휴가,충족,구분,휴가블록
근무 0730-1630,근무,07:30,16:30,8,0,1,근무,
근무 0800-1700,근무,08:00,17:00,8,0,1,근무,
근무 0830-1730,근무,08:30,17:30,8,0,1,근무,
연차,연차,,,0,8,0,휴가·사외,
출장,출장,,,8,0,0,휴가·사외,
교육,교육,,,8,0,0,휴가·사외,
기타,기타,,,8,0,0,휴가·사외,
오후반 0730-1200,오후반,07:30,12:00,4.5,4,0,반차,12:00~17:00
오후반 0730-1300,오후반,07:30,13:00,4.5,4,0,반차,13:00~17:00
오후반 0800-1200,오후반,08:00,12:00,4,4,0,반차,12:00~17:00
오후반 0800-1300,오후반,08:00,13:00,4,4,0,반차,13:00~17:00
오후반 0800-1330,오후반,08:00,13:30,4.5,4,0,반차,13:30~17:30
오후반 0830-1200,오후반,08:30,12:00,3.5,4,0,반차,12:00~17:00
오후반 0830-1300,오후반,08:30,13:00,3.5,4,0,반차,13:00~17:00
오후반 0830-1330,오후반,08:30,13:30,4,4,0,반차,13:30~17:30
오후반 0830-1400,오후반,08:30,14:00,4.5,4,0,반차,14:00~18:00
오전반 1300-1600,오전반,13:00,16:00,3,4,0,반차,08:00~13:00
오전반 1300-1630,오전반,13:00,16:30,3.5,4,0,반차,08:00~13:00
오전반 1300-1700,오전반,13:00,17:00,4,4,0,반차,08:00~13:00
오전반 1300-1730,오전반,13:00,17:30,4.5,4,0,반차,08:00~13:00
오전반 1330-1630,오전반,13:30,16:30,3,4,0,반차,08:30~13:30
오전반 1330-1700,오전반,13:30,17:00,3.5,4,0,반차,08:30~13:30
오전반 1330-1730,오전반,13:30,17:30,4,4,0,반차,08:30~13:30
오전반 1330-1800,오전반,13:30,18:00,4.5,4,0,반차,08:30~13:30
오전반 1330-1830,오전반,13:30,18:30,4.5,4,0,반차,08:30~13:30
오후반반 0800-1530,오후반반,08:00,15:30,6.5,2,0,반반차,15:30~17:30
오후반반 0830-1530,오후반반,08:30,15:30,6,2,0,반반차,15:30~17:30
오전반반 1030-1430,오전반반,10:30,14:30,3,2,0,반반차,08:30~10:30
오전반반 1030-1500,오전반반,10:30,15:00,3.5,2,0,반반차,08:30~10:30
오전반반 1030-1530,오전반반,10:30,15:30,4,2,0,반반차,08:30~10:30
오전반반 1030-1600,오전반반,10:30,16:00,4.5,2,0,반반차,08:30~10:30
오전반반 1030-1630,오전반반,10:30,16:30,5,2,0,반반차,08:30~10:30
오전반반 1030-1700,오전반반,10:30,17:00,5.5,2,0,반반차,08:30~10:30
오전반반 1030-1730,오전반반,10:30,17:30,6,2,0,반반차,08:30~10:30
